icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
T492X1A,"Poisoning by local astringents and local detergents, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT020,"External cause codes: intent of injury, accidental/unintentional",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T492X1D,"Poisoning by local astringents and local detergents, accidental (unintentional), subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T492X1S,"Poisoning by local astringents and local detergents, accidental (unintentional), sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T492X2A,"Poisoning by local astringents and local detergents, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014,External cause codes: poisoning by drug,EXT021,"External cause codes: intent of injury, self-harm",INJ022,"Poisoning by drugs, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm, , , , 
T492X2D,"Poisoning by local astringents and local detergents, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,MBD027,Suicide attempt/intentional self-harm; subsequent encounter,INJ059,"Poisoning by drugs, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter, , , , , , , , 
T492X2S,"Poisoning by local astringents and local detergents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,MBD034,Mental and substance use disorders; sequela,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",MBD034,Mental and substance use disorders; sequela, , , , , , , , 
T492X3A,"Poisoning by local astringents and local detergents, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT022,"External cause codes: intent of injury, assault",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T492X3D,"Poisoning by local astringents and local detergents, assault, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T492X3S,"Poisoning by local astringents and local detergents, assault, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T492X4A,"Poisoning by local astringents and local detergents, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT023,"External cause codes: intent of injury, undetermined",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T492X4D,"Poisoning by local astringents and local detergents, undetermined, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T492X4S,"Poisoning by local astringents and local detergents, undetermined, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T492X5A,"Adverse effect of local astringents and local detergents, initial encounter",XXX000,Unacceptable PDX,INJ028,"Adverse effects of drugs and medicaments, initial encounter",INJ028,"Adverse effects of drugs and medicaments, initial encounter", , , , , , , , , , 
T492X5D,"Adverse effect of local astringents and local detergents, subsequent encounter",XXX000,Unacceptable PDX,INJ065,"Adverse effects of drugs and medicaments, subsequent encounter",INJ065,"Adverse effects of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T492X5S,"Adverse effect of local astringents and local detergents, sequela",XXX000,Unacceptable PDX,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T492X6A,"Underdosing of local astringents and local detergents, initial encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ029,"Underdosing of drugs and medicaments, initial encounter", , , , , , , , , , 
T492X6D,"Underdosing of local astringents and local detergents, subsequent encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ066,"Underdosing of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T492X6S,"Underdosing of local astringents and local detergents, sequela",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T493X1A,"Poisoning by emollients, demulcents and protectants, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT020,"External cause codes: intent of injury, accidental/unintentional",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T493X1D,"Poisoning by emollients, demulcents and protectants, accidental (unintentional), subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T493X1S,"Poisoning by emollients, demulcents and protectants, accidental (unintentional), sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T493X2A,"Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014,External cause codes: poisoning by drug,EXT021,"External cause codes: intent of injury, self-harm",INJ022,"Poisoning by drugs, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm, , , , 
T493X2D,"Poisoning by emollients, demulcents and protectants, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,MBD027,Suicide attempt/intentional self-harm; subsequent encounter,INJ059,"Poisoning by drugs, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter, , , , , , , , 
T493X2S,"Poisoning by emollients, demulcents and protectants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,MBD034,Mental and substance use disorders; sequela,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",MBD034,Mental and substance use disorders; sequela, , , , , , , , 
T493X3A,"Poisoning by emollients, demulcents and protectants, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT022,"External cause codes: intent of injury, assault",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T493X3D,"Poisoning by emollients, demulcents and protectants, assault, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T493X3S,"Poisoning by emollients, demulcents and protectants, assault, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T493X4A,"Poisoning by emollients, demulcents and protectants, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT023,"External cause codes: intent of injury, undetermined",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T493X4D,"Poisoning by emollients, demulcents and protectants, undetermined, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T493X4S,"Poisoning by emollients, demulcents and protectants, undetermined, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T493X5A,"Adverse effect of emollients, demulcents and protectants, initial encounter",XXX000,Unacceptable PDX,INJ028,"Adverse effects of drugs and medicaments, initial encounter",INJ028,"Adverse effects of drugs and medicaments, initial encounter", , , , , , , , , , 
T493X5D,"Adverse effect of emollients, demulcents and protectants, subsequent encounter",XXX000,Unacceptable PDX,INJ065,"Adverse effects of drugs and medicaments, subsequent encounter",INJ065,"Adverse effects of drugs and medicaments, subsequent encounter", , , , , , , , , , 
