icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
S63420S,"Traumatic rupture of palmar ligament of right index finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63421A,"Traumatic rupture of palmar ligament of left index finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63421D,"Traumatic rupture of palmar ligament of left index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63421S,"Traumatic rupture of palmar ligament of left index finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63422A,"Traumatic rupture of palmar ligament of right middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63422D,"Traumatic rupture of palmar ligament of right middle finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63422S,"Traumatic rupture of palmar ligament of right middle finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63423A,"Traumatic rupture of palmar ligament of left middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63423D,"Traumatic rupture of palmar ligament of left middle finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63423S,"Traumatic rupture of palmar ligament of left middle finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63424A,"Traumatic rupture of palmar ligament of right ring finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63424D,"Traumatic rupture of palmar ligament of right ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63424S,"Traumatic rupture of palmar ligament of right ring finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63425A,"Traumatic rupture of palmar ligament of left ring finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63425D,"Traumatic rupture of palmar ligament of left ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63425S,"Traumatic rupture of palmar ligament of left ring finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63426A,"Traumatic rupture of palmar ligament of right little finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63426D,"Traumatic rupture of palmar ligament of right little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63426S,"Traumatic rupture of palmar ligament of right little finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63427A,"Traumatic rupture of palmar ligament of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63427D,"Traumatic rupture of palmar ligament of left little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63427S,"Traumatic rupture of palmar ligament of left little finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63428A,"Traumatic rupture of palmar ligament of other finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63428D,"Traumatic rupture of palmar ligament of other finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63428S,"Traumatic rupture of palmar ligament of other finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63429A,"Traumatic rupture of palmar ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63429D,"Traumatic rupture of palmar ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63429S,"Traumatic rupture of palmar ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63430A,"Traumatic rupture of volar plate of right index finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63430D,"Traumatic rupture of volar plate of right index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63430S,"Traumatic rupture of volar plate of right index finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63431A,"Traumatic rupture of volar plate of left index finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63431D,"Traumatic rupture of volar plate of left index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63431S,"Traumatic rupture of volar plate of left index finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63432A,"Traumatic rupture of volar plate of right middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63432D,"Traumatic rupture of volar plate of right middle finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63432S,"Traumatic rupture of volar plate of right middle finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63433A,"Traumatic rupture of volar plate of left middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63433D,"Traumatic rupture of volar plate of left middle finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63433S,"Traumatic rupture of volar plate of left middle finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63434A,"Traumatic rupture of volar plate of right ring finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63434D,"Traumatic rupture of volar plate of right ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63434S,"Traumatic rupture of volar plate of right ring finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63435A,"Traumatic rupture of volar plate of left ring finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63435D,"Traumatic rupture of volar plate of left ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63435S,"Traumatic rupture of volar plate of left ring finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63436A,"Traumatic rupture of volar plate of right little finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63436D,"Traumatic rupture of volar plate of right little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63436S,"Traumatic rupture of volar plate of right little finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63437A,"Traumatic rupture of volar plate of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63437D,"Traumatic rupture of volar plate of left little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63437S,"Traumatic rupture of volar plate of left little finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63438A,"Traumatic rupture of volar plate of other finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63438D,"Traumatic rupture of volar plate of other finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63438S,"Traumatic rupture of volar plate of other finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63439A,"Traumatic rupture of volar plate of unspecified finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63439D,"Traumatic rupture of volar plate of unspecified finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63439S,"Traumatic rupture of volar plate of unspecified finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63490A,"Traumatic rupture of other ligament of right index finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63490D,"Traumatic rupture of other ligament of right index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63490S,"Traumatic rupture of other ligament of right index finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63491A,"Traumatic rupture of other ligament of left index finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63491D,"Traumatic rupture of other ligament of left index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63491S,"Traumatic rupture of other ligament of left index finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63492A,"Traumatic rupture of other ligament of right middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63492D,"Traumatic rupture of other ligament of right middle finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63492S,"Traumatic rupture of other ligament of right middle finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63493A,"Traumatic rupture of other ligament of left middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63493D,"Traumatic rupture of other ligament of left middle finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63493S,"Traumatic rupture of other ligament of left middle finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63494A,"Traumatic rupture of other ligament of right ring finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63494D,"Traumatic rupture of other ligament of right ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63494S,"Traumatic rupture of other ligament of right ring finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63495A,"Traumatic rupture of other ligament of left ring finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63495D,"Traumatic rupture of other ligament of left ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63495S,"Traumatic rupture of other ligament of left ring finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63496A,"Traumatic rupture of other ligament of right little finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63496D,"Traumatic rupture of other ligament of right little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63496S,"Traumatic rupture of other ligament of right little finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63497A,"Traumatic rupture of other ligament of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63497D,"Traumatic rupture of other ligament of left little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63497S,"Traumatic rupture of other ligament of left little finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63498A,"Traumatic rupture of other ligament of other finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63498D,"Traumatic rupture of other ligament of other finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63498S,"Traumatic rupture of other ligament of other finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63499A,"Traumatic rupture of other ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63499D,"Traumatic rupture of other ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63499S,"Traumatic rupture of other ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63501A,"Unspecified sprain of right wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63501D,"Unspecified sprain of right wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63501S,"Unspecified sprain of right wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63502A,"Unspecified sprain of left wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63502D,"Unspecified sprain of left wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63502S,"Unspecified sprain of left wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63509A,"Unspecified sprain of unspecified wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63509D,"Unspecified sprain of unspecified wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63509S,"Unspecified sprain of unspecified wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63511A,"Sprain of carpal joint of right wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63511D,"Sprain of carpal joint of right wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63511S,"Sprain of carpal joint of right wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63512A,"Sprain of carpal joint of left wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63512D,"Sprain of carpal joint of left wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63512S,"Sprain of carpal joint of left wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63519A,"Sprain of carpal joint of unspecified wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63519D,"Sprain of carpal joint of unspecified wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63519S,"Sprain of carpal joint of unspecified wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63521A,"Sprain of radiocarpal joint of right wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63521D,"Sprain of radiocarpal joint of right wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63521S,"Sprain of radiocarpal joint of right wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63522A,"Sprain of radiocarpal joint of left wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63522D,"Sprain of radiocarpal joint of left wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63522S,"Sprain of radiocarpal joint of left wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63529A,"Sprain of radiocarpal joint of unspecified wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63529D,"Sprain of radiocarpal joint of unspecified wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63529S,"Sprain of radiocarpal joint of unspecified wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63591A,"Other specified sprain of right wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63591D,"Other specified sprain of right wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63591S,"Other specified sprain of right wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63592A,"Other specified sprain of left wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63592D,"Other specified sprain of left wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
S63592S,"Other specified sprain of left wrist, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela",INJ073,"Injury, sequela", , , , , , , , , , 
S63599A,"Other specified sprain of unspecified wrist, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter",INJ024,"Sprains and strains, initial encounter", , , , , , , , , , 
S63599D,"Other specified sprain of unspecified wrist, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter",INJ061,"Sprains and strains, subsequent encounter", , , , , , , , , , 
